sample,participant,scenario,wz,obs_T,fut_T,t_anchor,t_min,t_max,n_seg_frames,n_gaze_rows,seg_dir,gaze_file,split
P2_S4_curve_WZ1_s0011,P2,S4_curve,1,10,25,1764106633.156,1764106631.356,1764106638.156,60,68,aligned\P2_S4_curve_WZ1_s0011\seg,aligned\P2_S4_curve_WZ1_s0011\gaze.csv,test
P2_S4_curve_WZ1_s0012,P2,S4_curve,1,10,25,1764106633.356,1764106631.556,1764106638.356,60,68,aligned\P2_S4_curve_WZ1_s0012\seg,aligned\P2_S4_curve_WZ1_s0012\gaze.csv,test
P2_S4_curve_WZ1_s0013,P2,S4_curve,1,10,25,1764106633.556,1764106631.756,1764106638.556,59,69,aligned\P2_S4_curve_WZ1_s0013\seg,aligned\P2_S4_curve_WZ1_s0013\gaze.csv,test
P2_S4_curve_WZ1_s0014,P2,S4_curve,1,10,25,1764106633.756,1764106631.956,1764106638.756,58,68,aligned\P2_S4_curve_WZ1_s0014\seg,aligned\P2_S4_curve_WZ1_s0014\gaze.csv,test
P2_S4_curve_WZ1_s0015,P2,S4_curve,1,10,25,1764106633.956,1764106632.156,1764106638.956,57,67,aligned\P2_S4_curve_WZ1_s0015\seg,aligned\P2_S4_curve_WZ1_s0015\gaze.csv,test
P2_S4_curve_WZ1_s0016,P2,S4_curve,1,10,25,1764106634.156,1764106632.356,1764106639.156,57,69,aligned\P2_S4_curve_WZ1_s0016\seg,aligned\P2_S4_curve_WZ1_s0016\gaze.csv,test
P2_S5_nighttime_WZ1_s0000,P2,S5_nighttime,1,10,25,1764107124.737,1764107122.937,1764107129.737,63,68,aligned\P2_S5_nighttime_WZ1_s0000\seg,aligned\P2_S5_nighttime_WZ1_s0000\gaze.csv,test
P2_S5_nighttime_WZ1_s0001,P2,S5_nighttime,1,10,25,1764107124.937,1764107123.137,1764107129.937,64,68,aligned\P2_S5_nighttime_WZ1_s0001\seg,aligned\P2_S5_nighttime_WZ1_s0001\gaze.csv,test
P2_S5_nighttime_WZ1_s0002,P2,S5_nighttime,1,10,25,1764107125.137,1764107123.337,1764107130.137,64,68,aligned\P2_S5_nighttime_WZ1_s0002\seg,aligned\P2_S5_nighttime_WZ1_s0002\gaze.csv,test
P2_S5_nighttime_WZ1_s0003,P2,S5_nighttime,1,10,25,1764107125.337,1764107123.537,1764107130.337,64,68,aligned\P2_S5_nighttime_WZ1_s0003\seg,aligned\P2_S5_nighttime_WZ1_s0003\gaze.csv,test
P2_S5_nighttime_WZ1_s0004,P2,S5_nighttime,1,10,25,1764107125.537,1764107123.737,1764107130.537,64,69,aligned\P2_S5_nighttime_WZ1_s0004\seg,aligned\P2_S5_nighttime_WZ1_s0004\gaze.csv,test
P2_S5_nighttime_WZ1_s0005,P2,S5_nighttime,1,10,25,1764107125.737,1764107123.937,1764107130.737,64,68,aligned\P2_S5_nighttime_WZ1_s0005\seg,aligned\P2_S5_nighttime_WZ1_s0005\gaze.csv,test
P2_S5_nighttime_WZ1_s0006,P2,S5_nighttime,1,10,25,1764107125.937,1764107124.137,1764107130.937,64,67,aligned\P2_S5_nighttime_WZ1_s0006\seg,aligned\P2_S5_nighttime_WZ1_s0006\gaze.csv,test
P2_S5_nighttime_WZ1_s0007,P2,S5_nighttime,1,10,25,1764107126.137,1764107124.337,1764107131.137,64,68,aligned\P2_S5_nighttime_WZ1_s0007\seg,aligned\P2_S5_nighttime_WZ1_s0007\gaze.csv,test
P2_S5_nighttime_WZ1_s0008,P2,S5_nighttime,1,10,25,1764107126.337,1764107124.537,1764107131.337,65,69,aligned\P2_S5_nighttime_WZ1_s0008\seg,aligned\P2_S5_nighttime_WZ1_s0008\gaze.csv,test
P2_S5_nighttime_WZ1_s0009,P2,S5_nighttime,1,10,25,1764107126.537,1764107124.737,1764107131.537,64,69,aligned\P2_S5_nighttime_WZ1_s0009\seg,aligned\P2_S5_nighttime_WZ1_s0009\gaze.csv,test
P2_S5_nighttime_WZ1_s0010,P2,S5_nighttime,1,10,25,1764107126.737,1764107124.937,1764107131.737,64,68,aligned\P2_S5_nighttime_WZ1_s0010\seg,aligned\P2_S5_nighttime_WZ1_s0010\gaze.csv,test
P2_S5_nighttime_WZ1_s0011,P2,S5_nighttime,1,10,25,1764107126.937,1764107125.137,1764107131.937,63,68,aligned\P2_S5_nighttime_WZ1_s0011\seg,aligned\P2_S5_nighttime_WZ1_s0011\gaze.csv,test
P2_S5_nighttime_WZ1_s0012,P2,S5_nighttime,1,10,25,1764107127.137,1764107125.337,1764107132.137,64,67,aligned\P2_S5_nighttime_WZ1_s0012\seg,aligned\P2_S5_nighttime_WZ1_s0012\gaze.csv,test
P2_S5_nighttime_WZ1_s0013,P2,S5_nighttime,1,10,25,1764107127.337,1764107125.537,1764107132.337,64,68,aligned\P2_S5_nighttime_WZ1_s0013\seg,aligned\P2_S5_nighttime_WZ1_s0013\gaze.csv,test
P2_S5_nighttime_WZ1_s0014,P2,S5_nighttime,1,10,25,1764107127.537,1764107125.737,1764107132.537,64,68,aligned\P2_S5_nighttime_WZ1_s0014\seg,aligned\P2_S5_nighttime_WZ1_s0014\gaze.csv,test
P2_S5_nighttime_WZ1_s0015,P2,S5_nighttime,1,10,25,1764107127.737,1764107125.937,1764107132.737,64,68,aligned\P2_S5_nighttime_WZ1_s0015\seg,aligned\P2_S5_nighttime_WZ1_s0015\gaze.csv,test
P2_S5_nighttime_WZ1_s0016,P2,S5_nighttime,1,10,25,1764107127.937,1764107126.137,1764107132.937,64,68,aligned\P2_S5_nighttime_WZ1_s0016\seg,aligned\P2_S5_nighttime_WZ1_s0016\gaze.csv,test
P2_S6_truck_WZ1_s0000,P2,S6_truck,1,10,25,1764107584.846,1764107583.046,1764107589.846,61,67,aligned\P2_S6_truck_WZ1_s0000\seg,aligned\P2_S6_truck_WZ1_s0000\gaze.csv,test
P2_S6_truck_WZ1_s0001,P2,S6_truck,1,10,25,1764107585.046,1764107583.246,1764107590.046,61,68,aligned\P2_S6_truck_WZ1_s0001\seg,aligned\P2_S6_truck_WZ1_s0001\gaze.csv,test
P2_S6_truck_WZ1_s0002,P2,S6_truck,1,10,25,1764107585.246,1764107583.446,1764107590.246,61,68,aligned\P2_S6_truck_WZ1_s0002\seg,aligned\P2_S6_truck_WZ1_s0002\gaze.csv,test
P2_S6_truck_WZ1_s0003,P2,S6_truck,1,10,25,1764107585.446,1764107583.646,1764107590.446,61,69,aligned\P2_S6_truck_WZ1_s0003\seg,aligned\P2_S6_truck_WZ1_s0003\gaze.csv,test
P2_S6_truck_WZ1_s0004,P2,S6_truck,1,10,25,1764107585.646,1764107583.846,1764107590.646,61,67,aligned\P2_S6_truck_WZ1_s0004\seg,aligned\P2_S6_truck_WZ1_s0004\gaze.csv,test
P2_S6_truck_WZ1_s0005,P2,S6_truck,1,10,25,1764107585.846,1764107584.046,1764107590.846,62,69,aligned\P2_S6_truck_WZ1_s0005\seg,aligned\P2_S6_truck_WZ1_s0005\gaze.csv,test
P2_S6_truck_WZ1_s0006,P2,S6_truck,1,10,25,1764107586.046,1764107584.246,1764107591.046,62,68,aligned\P2_S6_truck_WZ1_s0006\seg,aligned\P2_S6_truck_WZ1_s0006\gaze.csv,test
P2_S6_truck_WZ1_s0007,P2,S6_truck,1,10,25,1764107586.246,1764107584.446,1764107591.246,62,69,aligned\P2_S6_truck_WZ1_s0007\seg,aligned\P2_S6_truck_WZ1_s0007\gaze.csv,test
P2_S6_truck_WZ1_s0008,P2,S6_truck,1,10,25,1764107586.446,1764107584.646,1764107591.446,63,68,aligned\P2_S6_truck_WZ1_s0008\seg,aligned\P2_S6_truck_WZ1_s0008\gaze.csv,test
P2_S6_truck_WZ1_s0009,P2,S6_truck,1,10,25,1764107586.646,1764107584.846,1764107591.646,64,68,aligned\P2_S6_truck_WZ1_s0009\seg,aligned\P2_S6_truck_WZ1_s0009\gaze.csv,test
P2_S6_truck_WZ1_s0010,P2,S6_truck,1,10,25,1764107586.846,1764107585.046,1764107591.846,65,69,aligned\P2_S6_truck_WZ1_s0010\seg,aligned\P2_S6_truck_WZ1_s0010\gaze.csv,test
P2_S6_truck_WZ1_s0011,P2,S6_truck,1,10,25,1764107587.046,1764107585.246,1764107592.046,65,69,aligned\P2_S6_truck_WZ1_s0011\seg,aligned\P2_S6_truck_WZ1_s0011\gaze.csv,test
P2_S6_truck_WZ1_s0012,P2,S6_truck,1,10,25,1764107587.246,1764107585.446,1764107592.246,64,67,aligned\P2_S6_truck_WZ1_s0012\seg,aligned\P2_S6_truck_WZ1_s0012\gaze.csv,test
P2_S6_truck_WZ1_s0013,P2,S6_truck,1,10,25,1764107587.446,1764107585.646,1764107592.446,64,69,aligned\P2_S6_truck_WZ1_s0013\seg,aligned\P2_S6_truck_WZ1_s0013\gaze.csv,test
P2_S6_truck_WZ1_s0014,P2,S6_truck,1,10,25,1764107587.646,1764107585.846,1764107592.646,63,69,aligned\P2_S6_truck_WZ1_s0014\seg,aligned\P2_S6_truck_WZ1_s0014\gaze.csv,test
P2_S6_truck_WZ1_s0015,P2,S6_truck,1,10,25,1764107587.846,1764107586.046,1764107592.846,63,67,aligned\P2_S6_truck_WZ1_s0015\seg,aligned\P2_S6_truck_WZ1_s0015\gaze.csv,test
P2_S6_truck_WZ1_s0016,P2,S6_truck,1,10,25,1764107588.046,1764107586.246,1764107593.046,62,68,aligned\P2_S6_truck_WZ1_s0016\seg,aligned\P2_S6_truck_WZ1_s0016\gaze.csv,test
P2_S6_truck_WZ1_s0017,P2,S6_truck,1,10,25,1764107588.246,1764107586.446,1764107593.246,63,69,aligned\P2_S6_truck_WZ1_s0017\seg,aligned\P2_S6_truck_WZ1_s0017\gaze.csv,test
P2_S6_truck_WZ1_s0018,P2,S6_truck,1,10,25,1764107588.446,1764107586.646,1764107593.446,63,68,aligned\P2_S6_truck_WZ1_s0018\seg,aligned\P2_S6_truck_WZ1_s0018\gaze.csv,test
P2_S6_truck_WZ1_s0019,P2,S6_truck,1,10,25,1764107588.646,1764107586.846,1764107593.646,63,68,aligned\P2_S6_truck_WZ1_s0019\seg,aligned\P2_S6_truck_WZ1_s0019\gaze.csv,test
P2_S6_truck_WZ1_s0020,P2,S6_truck,1,10,25,1764107588.846,1764107587.046,1764107593.846,62,68,aligned\P2_S6_truck_WZ1_s0020\seg,aligned\P2_S6_truck_WZ1_s0020\gaze.csv,test
P2_S6_truck_WZ1_s0021,P2,S6_truck,1,10,25,1764107589.046,1764107587.246,1764107594.046,62,67,aligned\P2_S6_truck_WZ1_s0021\seg,aligned\P2_S6_truck_WZ1_s0021\gaze.csv,test
P2_S6_truck_WZ1_s0022,P2,S6_truck,1,10,25,1764107589.246,1764107587.446,1764107594.246,62,67,aligned\P2_S6_truck_WZ1_s0022\seg,aligned\P2_S6_truck_WZ1_s0022\gaze.csv,test
P2_S6_truck_WZ1_s0023,P2,S6_truck,1,10,25,1764107589.446,1764107587.646,1764107594.446,63,67,aligned\P2_S6_truck_WZ1_s0023\seg,aligned\P2_S6_truck_WZ1_s0023\gaze.csv,test
P2_S6_truck_WZ1_s0024,P2,S6_truck,1,10,25,1764107589.646,1764107587.846,1764107594.646,63,68,aligned\P2_S6_truck_WZ1_s0024\seg,aligned\P2_S6_truck_WZ1_s0024\gaze.csv,test
P2_S6_truck_WZ1_s0025,P2,S6_truck,1,10,25,1764107589.846,1764107588.046,1764107594.846,63,68,aligned\P2_S6_truck_WZ1_s0025\seg,aligned\P2_S6_truck_WZ1_s0025\gaze.csv,test
P2_S6_truck_WZ1_s0026,P2,S6_truck,1,10,25,1764107590.046,1764107588.246,1764107595.046,63,68,aligned\P2_S6_truck_WZ1_s0026\seg,aligned\P2_S6_truck_WZ1_s0026\gaze.csv,test
P2_S6_truck_WZ1_s0027,P2,S6_truck,1,10,25,1764107590.246,1764107588.446,1764107595.246,62,67,aligned\P2_S6_truck_WZ1_s0027\seg,aligned\P2_S6_truck_WZ1_s0027\gaze.csv,test
P2_S6_truck_WZ1_s0028,P2,S6_truck,1,10,25,1764107590.446,1764107588.646,1764107595.446,63,68,aligned\P2_S6_truck_WZ1_s0028\seg,aligned\P2_S6_truck_WZ1_s0028\gaze.csv,test
P2_S6_truck_WZ1_s0029,P2,S6_truck,1,10,25,1764107590.646,1764107588.846,1764107595.646,63,67,aligned\P2_S6_truck_WZ1_s0029\seg,aligned\P2_S6_truck_WZ1_s0029\gaze.csv,test
P2_S6_truck_WZ1_s0030,P2,S6_truck,1,10,25,1764107590.846,1764107589.046,1764107595.846,62,69,aligned\P2_S6_truck_WZ1_s0030\seg,aligned\P2_S6_truck_WZ1_s0030\gaze.csv,test
P2_S6_truck_WZ1_s0031,P2,S6_truck,1,10,25,1764107591.046,1764107589.246,1764107596.046,62,69,aligned\P2_S6_truck_WZ1_s0031\seg,aligned\P2_S6_truck_WZ1_s0031\gaze.csv,test
P30_S1_normal_WZ1_s0000,P30,S1_normal,1,10,25,1772658960.242,1772658958.442,1772658965.242,67,68,aligned\P30_S1_normal_WZ1_s0000\seg,aligned\P30_S1_normal_WZ1_s0000\gaze.csv,train
P30_S1_normal_WZ1_s0001,P30,S1_normal,1,10,25,1772658960.442,1772658958.642,1772658965.442,66,68,aligned\P30_S1_normal_WZ1_s0001\seg,aligned\P30_S1_normal_WZ1_s0001\gaze.csv,train
P30_S1_normal_WZ1_s0002,P30,S1_normal,1,10,25,1772658960.642,1772658958.842,1772658965.642,66,68,aligned\P30_S1_normal_WZ1_s0002\seg,aligned\P30_S1_normal_WZ1_s0002\gaze.csv,train
P30_S1_normal_WZ1_s0003,P30,S1_normal,1,10,25,1772658960.842,1772658959.042,1772658965.842,67,69,aligned\P30_S1_normal_WZ1_s0003\seg,aligned\P30_S1_normal_WZ1_s0003\gaze.csv,train
P30_S1_normal_WZ1_s0004,P30,S1_normal,1,10,25,1772658961.042,1772658959.242,1772658966.042,66,67,aligned\P30_S1_normal_WZ1_s0004\seg,aligned\P30_S1_normal_WZ1_s0004\gaze.csv,train
P30_S1_normal_WZ1_s0005,P30,S1_normal,1,10,25,1772658961.242,1772658959.442,1772658966.242,66,68,aligned\P30_S1_normal_WZ1_s0005\seg,aligned\P30_S1_normal_WZ1_s0005\gaze.csv,train
P30_S1_normal_WZ1_s0006,P30,S1_normal,1,10,25,1772658961.442,1772658959.642,1772658966.442,66,69,aligned\P30_S1_normal_WZ1_s0006\seg,aligned\P30_S1_normal_WZ1_s0006\gaze.csv,train
P30_S1_normal_WZ1_s0007,P30,S1_normal,1,10,25,1772658961.642,1772658959.842,1772658966.642,66,68,aligned\P30_S1_normal_WZ1_s0007\seg,aligned\P30_S1_normal_WZ1_s0007\gaze.csv,train
P30_S1_normal_WZ1_s0008,P30,S1_normal,1,10,25,1772658961.842,1772658960.042,1772658966.842,65,68,aligned\P30_S1_normal_WZ1_s0008\seg,aligned\P30_S1_normal_WZ1_s0008\gaze.csv,train
P30_S1_normal_WZ1_s0009,P30,S1_normal,1,10,25,1772658962.042,1772658960.242,1772658967.042,66,67,aligned\P30_S1_normal_WZ1_s0009\seg,aligned\P30_S1_normal_WZ1_s0009\gaze.csv,train
P30_S1_normal_WZ1_s0010,P30,S1_normal,1,10,25,1772658962.242,1772658960.442,1772658967.242,65,67,aligned\P30_S1_normal_WZ1_s0010\seg,aligned\P30_S1_normal_WZ1_s0010\gaze.csv,train
P30_S1_normal_WZ1_s0011,P30,S1_normal,1,10,25,1772658962.442,1772658960.642,1772658967.442,65,69,aligned\P30_S1_normal_WZ1_s0011\seg,aligned\P30_S1_normal_WZ1_s0011\gaze.csv,train
P30_S1_normal_WZ1_s0012,P30,S1_normal,1,10,25,1772658962.642,1772658960.842,1772658967.642,65,68,aligned\P30_S1_normal_WZ1_s0012\seg,aligned\P30_S1_normal_WZ1_s0012\gaze.csv,train
P30_S1_normal_WZ1_s0013,P30,S1_normal,1,10,25,1772658962.842,1772658961.042,1772658967.842,65,68,aligned\P30_S1_normal_WZ1_s0013\seg,aligned\P30_S1_normal_WZ1_s0013\gaze.csv,train
P30_S1_normal_WZ1_s0014,P30,S1_normal,1,10,25,1772658963.042,1772658961.242,1772658968.042,65,68,aligned\P30_S1_normal_WZ1_s0014\seg,aligned\P30_S1_normal_WZ1_s0014\gaze.csv,train
P30_S1_normal_WZ1_s0015,P30,S1_normal,1,10,25,1772658963.242,1772658961.442,1772658968.242,65,67,aligned\P30_S1_normal_WZ1_s0015\seg,aligned\P30_S1_normal_WZ1_s0015\gaze.csv,train
P30_S1_normal_WZ1_s0016,P30,S1_normal,1,10,25,1772658963.442,1772658961.642,1772658968.442,66,69,aligned\P30_S1_normal_WZ1_s0016\seg,aligned\P30_S1_normal_WZ1_s0016\gaze.csv,train
P30_S1_normal_WZ1_s0017,P30,S1_normal,1,10,25,1772658963.642,1772658961.842,1772658968.642,66,67,aligned\P30_S1_normal_WZ1_s0017\seg,aligned\P30_S1_normal_WZ1_s0017\gaze.csv,train
P30_S1_normal_WZ1_s0018,P30,S1_normal,1,10,25,1772658963.842,1772658962.042,1772658968.842,66,68,aligned\P30_S1_normal_WZ1_s0018\seg,aligned\P30_S1_normal_WZ1_s0018\gaze.csv,train
P30_S1_normal_WZ1_s0019,P30,S1_normal,1,10,25,1772658964.042,1772658962.242,1772658969.042,64,68,aligned\P30_S1_normal_WZ1_s0019\seg,aligned\P30_S1_normal_WZ1_s0019\gaze.csv,train
P30_S1_normal_WZ1_s0020,P30,S1_normal,1,10,25,1772658964.242,1772658962.442,1772658969.242,64,68,aligned\P30_S1_normal_WZ1_s0020\seg,aligned\P30_S1_normal_WZ1_s0020\gaze.csv,train
P30_S1_normal_WZ1_s0021,P30,S1_normal,1,10,25,1772658964.442,1772658962.642,1772658969.442,64,69,aligned\P30_S1_normal_WZ1_s0021\seg,aligned\P30_S1_normal_WZ1_s0021\gaze.csv,train
P30_S1_normal_WZ1_s0022,P30,S1_normal,1,10,25,1772658964.642,1772658962.842,1772658969.642,63,67,aligned\P30_S1_normal_WZ1_s0022\seg,aligned\P30_S1_normal_WZ1_s0022\gaze.csv,train
P30_S1_normal_WZ1_s0023,P30,S1_normal,1,10,25,1772658964.842,1772658963.042,1772658969.842,63,67,aligned\P30_S1_normal_WZ1_s0023\seg,aligned\P30_S1_normal_WZ1_s0023\gaze.csv,train
P30_S1_normal_WZ1_s0024,P30,S1_normal,1,10,25,1772658965.042,1772658963.242,1772658970.042,63,68,aligned\P30_S1_normal_WZ1_s0024\seg,aligned\P30_S1_normal_WZ1_s0024\gaze.csv,train
P30_S1_normal_WZ1_s0025,P30,S1_normal,1,10,25,1772658965.242,1772658963.442,1772658970.242,62,68,aligned\P30_S1_normal_WZ1_s0025\seg,aligned\P30_S1_normal_WZ1_s0025\gaze.csv,train
P30_S1_normal_WZ1_s0026,P30,S1_normal,1,10,25,1772658965.442,1772658963.642,1772658970.442,63,69,aligned\P30_S1_normal_WZ1_s0026\seg,aligned\P30_S1_normal_WZ1_s0026\gaze.csv,train
P30_S1_normal_WZ1_s0027,P30,S1_normal,1,10,25,1772658965.642,1772658963.842,1772658970.642,64,68,aligned\P30_S1_normal_WZ1_s0027\seg,aligned\P30_S1_normal_WZ1_s0027\gaze.csv,train
P30_S1_normal_WZ1_s0028,P30,S1_normal,1,10,25,1772658965.842,1772658964.042,1772658970.842,63,67,aligned\P30_S1_normal_WZ1_s0028\seg,aligned\P30_S1_normal_WZ1_s0028\gaze.csv,train
P30_S1_normal_WZ1_s0029,P30,S1_normal,1,10,25,1772658966.042,1772658964.242,1772658971.042,63,68,aligned\P30_S1_normal_WZ1_s0029\seg,aligned\P30_S1_normal_WZ1_s0029\gaze.csv,train
P30_S1_normal_WZ1_s0030,P30,S1_normal,1,10,25,1772658966.242,1772658964.442,1772658971.242,64,67,aligned\P30_S1_normal_WZ1_s0030\seg,aligned\P30_S1_normal_WZ1_s0030\gaze.csv,train
P30_S1_normal_WZ1_s0031,P30,S1_normal,1,10,25,1772658966.442,1772658964.642,1772658971.442,63,68,aligned\P30_S1_normal_WZ1_s0031\seg,aligned\P30_S1_normal_WZ1_s0031\gaze.csv,train
P30_S1_normal_WZ1_s0032,P30,S1_normal,1,10,25,1772658966.642,1772658964.842,1772658971.642,63,67,aligned\P30_S1_normal_WZ1_s0032\seg,aligned\P30_S1_normal_WZ1_s0032\gaze.csv,train
P30_S1_normal_WZ1_s0033,P30,S1_normal,1,10,25,1772658966.842,1772658965.042,1772658971.842,63,69,aligned\P30_S1_normal_WZ1_s0033\seg,aligned\P30_S1_normal_WZ1_s0033\gaze.csv,train
P30_S1_normal_WZ1_s0034,P30,S1_normal,1,10,25,1772658967.042,1772658965.242,1772658972.042,63,68,aligned\P30_S1_normal_WZ1_s0034\seg,aligned\P30_S1_normal_WZ1_s0034\gaze.csv,train
P30_S1_normal_WZ1_s0035,P30,S1_normal,1,10,25,1772658967.242,1772658965.442,1772658972.242,65,69,aligned\P30_S1_normal_WZ1_s0035\seg,aligned\P30_S1_normal_WZ1_s0035\gaze.csv,train
P30_S1_normal_WZ1_s0036,P30,S1_normal,1,10,25,1772658967.442,1772658965.642,1772658972.442,65,68,aligned\P30_S1_normal_WZ1_s0036\seg,aligned\P30_S1_normal_WZ1_s0036\gaze.csv,train
P30_S1_normal_WZ1_s0037,P30,S1_normal,1,10,25,1772658967.642,1772658965.842,1772658972.642,63,68,aligned\P30_S1_normal_WZ1_s0037\seg,aligned\P30_S1_normal_WZ1_s0037\gaze.csv,train
P30_S1_normal_WZ1_s0038,P30,S1_normal,1,10,25,1772658967.842,1772658966.042,1772658972.842,64,69,aligned\P30_S1_normal_WZ1_s0038\seg,aligned\P30_S1_normal_WZ1_s0038\gaze.csv,train
P30_S1_normal_WZ1_s0039,P30,S1_normal,1,10,25,1772658968.042,1772658966.242,1772658973.042,63,68,aligned\P30_S1_normal_WZ1_s0039\seg,aligned\P30_S1_normal_WZ1_s0039\gaze.csv,train
P30_S1_normal_WZ1_s0040,P30,S1_normal,1,10,25,1772658968.242,1772658966.442,1772658973.242,62,67,aligned\P30_S1_normal_WZ1_s0040\seg,aligned\P30_S1_normal_WZ1_s0040\gaze.csv,train
P30_S1_normal_WZ1_s0041,P30,S1_normal,1,10,25,1772658968.442,1772658966.642,1772658973.442,62,69,aligned\P30_S1_normal_WZ1_s0041\seg,aligned\P30_S1_normal_WZ1_s0041\gaze.csv,train
P30_S1_normal_WZ1_s0042,P30,S1_normal,1,10,25,1772658968.642,1772658966.842,1772658973.642,63,68,aligned\P30_S1_normal_WZ1_s0042\seg,aligned\P30_S1_normal_WZ1_s0042\gaze.csv,train
P30_S1_normal_WZ1_s0043,P30,S1_normal,1,10,25,1772658968.842,1772658967.042,1772658973.842,61,69,aligned\P30_S1_normal_WZ1_s0043\seg,aligned\P30_S1_normal_WZ1_s0043\gaze.csv,train
P30_S1_normal_WZ1_s0044,P30,S1_normal,1,10,25,1772658969.042,1772658967.242,1772658974.042,62,69,aligned\P30_S1_normal_WZ1_s0044\seg,aligned\P30_S1_normal_WZ1_s0044\gaze.csv,train
P30_S1_normal_WZ1_s0045,P30,S1_normal,1,10,25,1772658969.242,1772658967.442,1772658974.242,62,67,aligned\P30_S1_normal_WZ1_s0045\seg,aligned\P30_S1_normal_WZ1_s0045\gaze.csv,train
P30_S1_normal_WZ1_s0046,P30,S1_normal,1,10,25,1772658969.442,1772658967.642,1772658974.442,61,68,aligned\P30_S1_normal_WZ1_s0046\seg,aligned\P30_S1_normal_WZ1_s0046\gaze.csv,train
P30_S1_normal_WZ1_s0047,P30,S1_normal,1,10,25,1772658969.642,1772658967.842,1772658974.642,61,68,aligned\P30_S1_normal_WZ1_s0047\seg,aligned\P30_S1_normal_WZ1_s0047\gaze.csv,train
P30_S1_normal_WZ1_s0048,P30,S1_normal,1,10,25,1772658969.842,1772658968.042,1772658974.842,60,68,aligned\P30_S1_normal_WZ1_s0048\seg,aligned\P30_S1_normal_WZ1_s0048\gaze.csv,train
P30_S1_normal_WZ1_s0049,P30,S1_normal,1,10,25,1772658970.042,1772658968.242,1772658975.042,60,69,aligned\P30_S1_normal_WZ1_s0049\seg,aligned\P30_S1_normal_WZ1_s0049\gaze.csv,train
P30_S1_normal_WZ1_s0050,P30,S1_normal,1,10,25,1772658970.242,1772658968.442,1772658975.242,58,68,aligned\P30_S1_normal_WZ1_s0050\seg,aligned\P30_S1_normal_WZ1_s0050\gaze.csv,train
P30_S1_normal_WZ1_s0051,P30,S1_normal,1,10,25,1772658970.442,1772658968.642,1772658975.442,57,68,aligned\P30_S1_normal_WZ1_s0051\seg,aligned\P30_S1_normal_WZ1_s0051\gaze.csv,train
P30_S2_noWarning_WZ1_s0000,P30,S2_noWarning,1,10,25,1772658516.796,1772658514.996,1772658521.796,63,69,aligned\P30_S2_noWarning_WZ1_s0000\seg,aligned\P30_S2_noWarning_WZ1_s0000\gaze.csv,train
P30_S2_noWarning_WZ1_s0001,P30,S2_noWarning,1,10,25,1772658516.996,1772658515.196,1772658521.996,64,69,aligned\P30_S2_noWarning_WZ1_s0001\seg,aligned\P30_S2_noWarning_WZ1_s0001\gaze.csv,train
P30_S2_noWarning_WZ1_s0002,P30,S2_noWarning,1,10,25,1772658517.196,1772658515.396,1772658522.196,64,68,aligned\P30_S2_noWarning_WZ1_s0002\seg,aligned\P30_S2_noWarning_WZ1_s0002\gaze.csv,train
P30_S2_noWarning_WZ1_s0003,P30,S2_noWarning,1,10,25,1772658517.396,1772658515.596,1772658522.396,65,69,aligned\P30_S2_noWarning_WZ1_s0003\seg,aligned\P30_S2_noWarning_WZ1_s0003\gaze.csv,train
P30_S2_noWarning_WZ1_s0004,P30,S2_noWarning,1,10,25,1772658517.596,1772658515.796,1772658522.596,65,69,aligned\P30_S2_noWarning_WZ1_s0004\seg,aligned\P30_S2_noWarning_WZ1_s0004\gaze.csv,train
P30_S2_noWarning_WZ1_s0005,P30,S2_noWarning,1,10,25,1772658517.796,1772658515.996,1772658522.796,65,69,aligned\P30_S2_noWarning_WZ1_s0005\seg,aligned\P30_S2_noWarning_WZ1_s0005\gaze.csv,train
P30_S2_noWarning_WZ1_s0006,P30,S2_noWarning,1,10,25,1772658517.996,1772658516.196,1772658522.996,66,67,aligned\P30_S2_noWarning_WZ1_s0006\seg,aligned\P30_S2_noWarning_WZ1_s0006\gaze.csv,train
P30_S2_noWarning_WZ1_s0007,P30,S2_noWarning,1,10,25,1772658518.196,1772658516.396,1772658523.196,66,68,aligned\P30_S2_noWarning_WZ1_s0007\seg,aligned\P30_S2_noWarning_WZ1_s0007\gaze.csv,train
P30_S2_noWarning_WZ1_s0008,P30,S2_noWarning,1,10,25,1772658518.396,1772658516.596,1772658523.396,66,69,aligned\P30_S2_noWarning_WZ1_s0008\seg,aligned\P30_S2_noWarning_WZ1_s0008\gaze.csv,train
P30_S2_noWarning_WZ1_s0009,P30,S2_noWarning,1,10,25,1772658518.596,1772658516.796,1772658523.596,66,68,aligned\P30_S2_noWarning_WZ1_s0009\seg,aligned\P30_S2_noWarning_WZ1_s0009\gaze.csv,train
P30_S2_noWarning_WZ1_s0010,P30,S2_noWarning,1,10,25,1772658518.796,1772658516.996,1772658523.796,66,68,aligned\P30_S2_noWarning_WZ1_s0010\seg,aligned\P30_S2_noWarning_WZ1_s0010\gaze.csv,train
P30_S2_noWarning_WZ1_s0011,P30,S2_noWarning,1,10,25,1772658518.996,1772658517.196,1772658523.996,66,68,aligned\P30_S2_noWarning_WZ1_s0011\seg,aligned\P30_S2_noWarning_WZ1_s0011\gaze.csv,train
P30_S2_noWarning_WZ1_s0012,P30,S2_noWarning,1,10,25,1772658519.196,1772658517.396,1772658524.196,66,68,aligned\P30_S2_noWarning_WZ1_s0012\seg,aligned\P30_S2_noWarning_WZ1_s0012\gaze.csv,train
